ensgene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000003249,85,73,221,84,107,116,173,131
ENSG00000003393,900,728,875,514,979,1595,846,747
ENSG00000003400,101,71,121,104,97,67,109,74
ENSG00000003402,2065,3648,2340,2991,2828,6903,1744,4908
ENSG00000003436,4665,4109,6899,3253,9138,6350,3913,3778
ENSG00000003509,306,249,379,203,410,406,258,285
ENSG00000003756,3095,2413,3940,1763,3701,3895,2801,2827
ENSG00000003987,25,28,34,35,23,50,15,32
ENSG00000003989,61,51,13,3,44,104,17,51
ENSG00000004059,1589,1893,1519,1136,1747,2545,1396,1896
ENSG00000004139,311,354,326,168,370,342,357,310
ENSG00000004142,1501,1570,1618,981,1746,2298,1129,1261
ENSG00000004399,4107,4116,3858,2064,5515,5631,2670,2561
ENSG00000004455,1349,1098,1549,733,1568,2126,1040,903
ENSG00000004468,8,8,2,3,8,12,4,2
ENSG00000004478,552,638,727,396,870,910,507,471
ENSG00000004487,1345,1018,1705,788,1796,1503,1195,1011
ENSG00000004534,1246,1002,2084,930,1715,1609,1209,975
ENSG00000004660,98,58,59,38,87,81,156,66
ENSG00000004700,1376,1618,1714,1127,1293,2202,1177,1745
ENSG00000004766,567,383,533,365,638,660,464,438
ENSG00000004776,14175,12857,13950,8278,11255,10302,15995,12729
ENSG00000004777,206,106,102,62,78,65,119,89
ENSG00000004779,330,340,486,265,411,566,296,326
ENSG00000004799,82,835,127,1130,226,479,647,3273
ENSG00000004809,2,2,3,2,1,1,0,0
ENSG00000004838,19,8,28,8,25,15,20,13
ENSG00000004846,33,9,75,12,9,13,26,7
ENSG00000004848,0,1,0,0,0,0,0,0
ENSG00000004864,141,141,104,110,226,248,164,116
ENSG00000004866,522,387,1077,288,600,588,548,357
ENSG00000004897,1662,1367,2114,1041,1980,2173,1823,1628
ENSG00000004939,9,7,12,3,17,12,8,6
ENSG00000004948,0,0,0,0,0,0,0,0
ENSG00000004961,444,345,541,289,651,570,361,401
ENSG00000004975,1330,954,1146,517,1330,1034,993,913
ENSG00000005001,0,0,0,0,0,0,0,0
ENSG00000005007,2288,2284,2515,1544,2227,3318,1992,2494
ENSG00000005020,881,710,781,499,752,927,704,846
ENSG00000005022,1581,1253,1555,839,1472,1664,1115,1166
ENSG00000005059,200,206,242,206,194,192,209,245
ENSG00000005073,1,0,1,0,1,1,0,0
ENSG00000005075,631,693,719,378,730,966,481,490
ENSG00000005100,440,437,554,357,530,762,402,630
ENSG00000005102,1,0,0,0,3,0,0,0
ENSG00000005108,10,12,6,5,8,18,12,30
ENSG00000005156,370,170,370,178,402,442,247,203
ENSG00000005175,334,346,318,119,596,479,350,368
ENSG00000005187,24,26,35,24,33,26,34,12
ENSG00000005189,78,61,89,56,114,64,104,69
ENSG00000005194,438,373,620,314,522,740,324,478
ENSG00000005206,748,656,767,377,747,1090,583,732
ENSG00000005238,801,634,853,408,991,914,615,621
ENSG00000005243,1171,949,1236,746,931,1001,1037,900
ENSG00000005249,227,247,279,328,284,385,212,417
ENSG00000005302,441,547,488,338,579,690,381,378
ENSG00000005339,2660,1793,3240,1690,3210,4177,2479,2404
ENSG00000005379,213,128,120,134,150,276,157,116
ENSG00000005381,3,30,7,1,0,2,8,3
ENSG00000005421,0,0,0,0,1,0,0,0
ENSG00000005436,313,303,292,239,343,411,273,277
ENSG00000005448,241,214,267,158,233,420,171,239
ENSG00000005469,503,396,344,191,629,479,485,437
ENSG00000005471,67,15,61,16,18,17,49,26
ENSG00000005483,1863,1563,1921,1107,2491,2868,1704,1957
ENSG00000005486,741,620,1121,562,1113,1476,900,626
ENSG00000005513,10,2,5,0,4,3,3,8
ENSG00000005700,543,431,790,393,657,830,574,558
ENSG00000005801,210,212,298,161,321,281,206,126
ENSG00000005810,3126,2627,3159,2108,3415,3939,2792,2203
ENSG00000005812,1493,1459,1472,1359,1192,1920,1305,1727
ENSG00000005844,5,0,1,3,9,2,3,3
ENSG00000005882,954,877,1254,681,1413,1243,1147,1137
ENSG00000005884,701,795,1582,1106,1392,2547,1253,1343
ENSG00000005889,792,584,766,404,852,1287,947,990
ENSG00000005893,5053,4502,6271,3792,5773,6753,4612,5082
ENSG00000005961,9,13,24,5,11,5,10,7
ENSG00000005981,4,6,4,2,8,7,16,5
ENSG00000006007,2249,2181,3008,2143,3340,4141,1979,2357
ENSG00000006015,544,481,416,195,261,363,429,412
ENSG00000006016,154,112,91,82,92,168,269,301
ENSG00000006025,226,178,229,95,202,103,179,83
ENSG00000006042,3108,2545,3486,2057,3876,4817,2990,3128
ENSG00000006047,0,1,1,1,1,0,1,0
ENSG00000006059,0,0,0,0,0,0,0,0
ENSG00000006062,335,294,333,115,415,269,252,129
ENSG00000006071,0,0,0,0,0,0,0,0
ENSG00000006116,0,0,1,0,2,0,0,1
ENSG00000006118,528,369,604,282,832,569,405,240
ENSG00000006125,7030,5372,7725,5197,7765,9324,5601,6910
ENSG00000006128,0,4,1,0,0,0,0,0
ENSG00000006194,527,508,612,377,665,873,477,511
ENSG00000006210,9,19,9,6,9,20,18,37
ENSG00000006282,1765,1372,1340,752,1610,1767,1418,1384
ENSG00000006283,100,46,48,11,124,79,89,24
ENSG00000006327,523,347,708,250,767,1410,645,435
ENSG00000006377,0,0,0,1,0,0,0,0
ENSG00000006432,8,5,12,8,11,8,2,3
ENSG00000006451,1833,949,1094,568,1629,1135,1084,812
ENSG00000006453,214,151,260,150,272,268,247,179
ENSG00000006459,381,299,461,266,459,314,444,659
ENSG00000006468,190,109,167,133,136,333,352,281
ENSG00000006530,251,254,292,173,444,440,208,255
ENSG00000006534,885,1132,1380,847,1439,2533,589,873
ENSG00000006555,9,4,6,2,2,6,7,3
ENSG00000006576,946,718,1612,711,1267,1125,1419,974
ENSG00000006606,3,3,8,1,8,9,2,2
ENSG00000006607,709,903,971,860,812,1364,770,1283
ENSG00000006611,0,0,0,0,0,0,0,0
ENSG00000006625,195,186,196,84,254,312,150,119
ENSG00000006634,132,72,104,74,90,82,122,63
ENSG00000006638,76,54,105,46,65,49,72,49
ENSG00000006652,922,788,1022,597,1662,1865,1135,1106
ENSG00000006659,1,0,0,1,3,3,3,1
ENSG00000006695,184,140,200,141,220,336,128,160
ENSG00000006704,337,281,380,164,274,283,272,371
ENSG00000006712,985,879,1550,719,1562,1435,1114,964
ENSG00000006715,2045,1560,2949,1410,2865,3310,2122,2087
ENSG00000006740,42,29,33,20,52,63,57,61
ENSG00000006744,836,931,1008,636,1253,1537,629,948
ENSG00000006747,18,29,35,12,18,65,38,20
ENSG00000006756,538,423,591,371,664,653,548,646
ENSG00000006757,161,155,176,105,223,237,168,164
ENSG00000006788,5,37,0,1,5,19,1,22
ENSG00000006831,1055,1009,1170,894,1174,1576,901,1114
ENSG00000006837,72,56,90,80,100,78,76,48
ENSG00000007001,2,4,5,0,3,1,0,2
ENSG00000007038,0,0,2,1,0,1,1,2
ENSG00000007047,641,654,925,519,1247,1174,754,827
ENSG00000007062,3,2,6,1,3,3,1,2
ENSG00000007080,633,715,707,402,797,1182,486,601
ENSG00000007129,0,0,0,0,0,0,0,0
ENSG00000007168,3486,3399,4955,2670,4943,5940,3468,3959
ENSG00000007171,0,2,0,0,2,2,5,1
ENSG00000007174,1,3,3,4,4,3,2,1
ENSG00000007202,6595,5389,7849,4289,7838,10225,5646,6351
ENSG00000007216,0,0,0,0,0,0,0,0
ENSG00000007237,378,153,304,37,282,180,1233,793
ENSG00000007255,140,155,124,118,130,178,109,91
ENSG00000007264,3,3,4,1,2,3,3,5
ENSG00000007306,0,0,0,0,0,0,0,0
ENSG00000007312,1,2,0,4,5,0,1,2
ENSG00000007314,0,1,2,1,1,0,1,0
ENSG00000007341,274,172,282,171,302,534,256,361
ENSG00000007350,0,0,0,0,0,0,0,0
ENSG00000007372,29,62,32,11,29,60,65,42
ENSG00000007376,278,265,222,137,341,415,221,265
ENSG00000007384,2.00E+03,1978,1951,983,1940,2494,1657,1957
ENSG00000007392,792,659,766,430,857,865,632,623
ENSG00000007402,21,24,24,29,12,15,18,37
ENSG00000007516,6,6,6,14,25,10,14,7
ENSG00000007520,655,565,632,317,602,947,529,567
ENSG00000007541,710,669,694,361,651,963,528,799
ENSG00000007545,615,679,771,383,663,772,481,719
ENSG00000007866,1522,2112,1701,1244,1350,2288,1069,1778
ENSG00000007908,0,0,0,0,0,0,0,0
ENSG00000007923,880,885,1095,611,1375,1566,917,797
ENSG00000007933,782,826,2205,1633,223,335,277,286
ENSG00000007944,368,247,535,185,520,462,327,253
ENSG00000007952,11,15,7,8,10,22,4,7
ENSG00000007968,4,6,6,3,3,5,3,2
ENSG00000008018,1674,1494,1789,1115,1595,1942,1329,1387
ENSG00000008056,7,23,24,15,15,23,13,22
ENSG00000008083,274,260,283,227,300,536,232,391
ENSG00000008086,323,293,585,198,428,582,370,343
ENSG00000008118,2,4,13,2,14,4,10,9
ENSG00000008128,574,559,657,336,345,401,676,903
ENSG00000008130,1345,2061,1441,1443,1357,2352,1134,2516
ENSG00000008196,1,1,6,1,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,0
ENSG00000008226,8,3,13,5,6,4,8,18
ENSG00000008256,1746,3230,3066,3432,2924,8788,2096,5538
ENSG00000008277,28,19,18,20,15,19,20,12
ENSG00000008282,1959,1841,1966,1707,1827,2637,1841,2137
ENSG00000008283,594,538,645,336,565,802,424,442
ENSG00000008294,2688,2195,3950,1736,3465,3951,3166,3017
ENSG00000008300,55,76,127,85,104,134,59,141
ENSG00000008311,478,972,549,670,423,979,451,1095
ENSG00000008323,8,12,7,3,16,21,10,16
ENSG00000008324,112,157,85,106,105,146,113,142
ENSG00000008382,156,124,167,87,198,284,133,182
ENSG00000008394,2589,2703,3127,1895,8070,8505,2426,2683
ENSG00000008405,296,308,269,208,288,386,318,237
ENSG00000008438,0,6,1,1,1,1,0,3
ENSG00000008441,14126,9551,13469,6036,12014,11986,12268,10604
ENSG00000008513,2256,1341,1760,554,2489,2204,1585,1155
ENSG00000008516,19,22,31,6,23,49,35,19
ENSG00000008517,179,82,210,63,66,66,195,97
ENSG00000008710,5059,5956,5307,3517,4361,7109,4276,6326
ENSG00000008735,15,22,21,13,19,18,18,31
ENSG00000008838,1320,1003,1229,659,1355,1726,1089,1192
ENSG00000008853,644,727,956,562,837,1261,736,1194
ENSG00000008869,796,639,799,505,778,971,585,766
ENSG00000008952,4233,4365,5671,3341,6442,8699,5176,4949
ENSG00000008988,13036,11874,13193,7244,11543,13258,9597,9408
ENSG00000009307,15086,12706,19963,11668,20102,22009,13922,15094
ENSG00000009335,1932,2021,2275,1634,2561,3222,1760,1995
ENSG00000009413,5320,10463,6250,7792,6761,11796,5883,12104
ENSG00000009694,18,7,2,3,4,1,1,42
ENSG00000009709,0,0,0,0,0,0,0,0
ENSG00000009724,40,30,60,24,46,40,46,33
ENSG00000009765,12,30,4,1,1,22,5,13
ENSG00000009780,150,187,173,146,165,211,154,224
ENSG00000009790,3,6,6,3,10,9,3,7
ENSG00000009830,381,460,546,285,431,627,408,382
ENSG00000009844,829,675,1092,532,1201,1272,760,846
ENSG00000009950,10,21,6,2,3,4,4,4
ENSG00000009954,2827,2653,3352,2041,3688,3848,2866,2801
ENSG00000010017,1510,2278,1804,2001,2124,3061,1689,3084
ENSG00000010030,30,15,22,11,17,12,18,10
ENSG00000010072,194,143,203,105,216,181,183,204
ENSG00000010165,959,950,1177,688,1089,1005,836,710
ENSG00000010219,262,189,326,142,314,349,213,180
ENSG00000010244,2884,2599,2943,1669,3710,4663,1916,2208
ENSG00000010256,1649,1795,1587,1379,1940,3151,1337,2004
ENSG00000010270,888,800,884,504,964,1034,602,680
ENSG00000010278,3133,3438,3747,3527,2633,5096,3486,5254
ENSG00000010282,0,0,0,0,0,0,0,0
ENSG00000010292,1407,1139,1356,827,1409,1537,1106,1385
ENSG00000010295,1471,1280,1679,865,897,997,1194,1296
ENSG00000010310,27,13,30,12,22,21,24,19
ENSG00000010318,61,71,81,71,71,64,85,87
ENSG00000010319,1,0,1,0,0,1,0,7
ENSG00000010322,2581,2022,3157,1472,3739,3525,2585,2276
ENSG00000010327,0,0,1,1,0,1,5,0
ENSG00000010361,273,226,312,170,208,265,205,325
ENSG00000010379,0,1,7,1,0,0,0,0
ENSG00000010404,2447,2016,3319,1999,3261,4852,2668,3408
ENSG00000010438,7,11,12,6,19,37,35,26
ENSG00000010539,140,128,166,108,183,227,121,113
ENSG00000010610,37,18,97,53,122,131,31,17
ENSG00000010626,151,103,210,111,179,185,159,118
ENSG00000010671,0,0,0,0,3,1,0,0
ENSG00000010704,508,302,674,303,503,580,487,466
ENSG00000010803,770,660,858,531,995,1110,637,729
ENSG00000010810,1783,1707,1607,882,2566,2629,1353,1541
ENSG00000010818,1884,1023,1633,835,1992,2092,1771,1286
ENSG00000010932,16,33,70,46,0,22,16,17
ENSG00000011007,1470,1365,1388,954,1533,1949,1096,1307
ENSG00000011009,451,500,518,265,579,728,399,441
ENSG00000011021,879,666,655,397,719,864,658,721
ENSG00000011028,17930,13855,25972,10769,17814,19903,16783,15460
ENSG00000011052,307,195,298,80,274,349,270,160
ENSG00000011083,0,0,1,1,1,0,0,0
ENSG00000011105,3095,2676,3524,2493,3490,5306,3913,4755
ENSG00000011114,721,462,606,398,686,1054,528,606
ENSG00000011132,198,220,301,143,258,275,178,224
ENSG00000011143,207,145,226,100,159,182,161,127
ENSG00000011198,586,1488,820,1040,1219,1886,581,1656
ENSG00000011201,2,0,1,0,0,1,0,0
ENSG00000011243,823,694,963,430,1072,1007,685,705
ENSG00000011258,473,282,405,224,464,409,404,361
ENSG00000011260,489,465,369,295,444,553,321,380
ENSG00000011275,1680,1455,1932,1070,2206,2572,1579,1668
ENSG00000011295,428,369,466,329,459,567,370,428
ENSG00000011304,3395,3914,3193,2347,4152,5945,2853,3929
ENSG00000011332,25,12,18,18,10,48,6,11
ENSG00000011347,174,87,157,69,217,178,269,95
ENSG00000011376,547,454,448,278,436,574,389,366
ENSG00000011405,1181,1300,1462,843,1906,2810,1419,1963
ENSG00000011422,399,368,489,250,347,541,380,399
ENSG00000011426,265,251,239,138,346,334,276,158
ENSG00000011451,1536,1653,1596,899,1630,2081,1356,1348
ENSG00000011454,1864,1776,2363,2292,2468,3730,1934,2480
ENSG00000011465,218156,190421,427652,214758,302872,315630,378108,372973
ENSG00000011478,95,138,138,133,143,276,102,183
ENSG00000011485,818,1191,963,672,1131,1733,692,1224
ENSG00000011523,752,710,999,580,1002,1248,679,959
ENSG00000011566,851,1132,1434,1153,1367,3004,813,1974
ENSG00000011590,6,7,7,0,3,4,0,0
ENSG00000011600,0,1,4,3,0,0,3,2
ENSG00000011638,975,808,771,661,837,963,873,1030
ENSG00000011677,0,2,1,2,1,3,0,2
ENSG00000012048,332,109,485,89,411,178,286,141
ENSG00000012061,1160,913,1519,599,1388,1978,914,984
ENSG00000012124,4,4,4,0,7,1,0,0
ENSG00000012171,1860,956,2108,723,1281,996,1485,1002
ENSG00000012174,722,620,848,523,856,1149,635,726
ENSG00000012211,109,139,138,65,134,193,120,142
ENSG00000012223,0,0,0,1,3,7,0,0
ENSG00000012232,1271,1030,1370,885,1652,2088,1015,1299
ENSG00000012504,0,0,0,0,0,0,0,1
ENSG00000012660,2069,1877,2572,2274,2236,3807,1881,2671
ENSG00000012779,0,1,0,0,0,0,0,0
ENSG00000012817,887,816,993,483,1227,1262,8,13
ENSG00000012822,4687,5376,6913,5128,6323,8977,4768,7924
ENSG00000012963,333,305,451,250,320,376,363,348
ENSG00000012983,1997,1575,2569,1205,2816,3307,1822,1831
ENSG00000013016,2070,3397,1763,885,1808,3342,1165,1609
ENSG00000013275,503,522,518,317,503,774,368,396
ENSG00000013288,3106,2541,4085,2321,3913,5176,2297,2999
ENSG00000013293,222,63,389,114,424,199,472,112
ENSG00000013297,6526,1575,5336,1498,5069,1208,5341,1778
ENSG00000013306,1015,1023,1095,602,1303,1514,829,822
ENSG00000013364,9639,8804,9096,5778,8309,10690,7326,8748
ENSG00000013374,1208,1116,1788,1043,2071,2410,1210,1415
ENSG00000013375,1452,984,1762,707,1874,2060,1505,1118
ENSG00000013392,226,142,275,153,299,297,277,231
ENSG00000013441,2515,2754,2337,2351,3115,3358,2183,2964
ENSG00000013503,336,295,369,143,399,480,228,207
ENSG00000013523,428,303,483,192,530,443,380,339
ENSG00000013561,770,854,1054,783,1104,1379,746,1041
ENSG00000013563,406,361,770,440,799,965,412,414
ENSG00000013573,331,229,264,126,240,271,241,190
ENSG00000013583,1258,1289,1497,1299,1670,2205,1053,1653
ENSG00000013588,594,450,975,541,802,704,435,479
ENSG00000013619,757,1112,1256,823,1296,1810,879,1181
ENSG00000013725,11,10,6,7,13,4,4,9
ENSG00000013810,95,134,124,65,69,109,77,88
ENSG00000014123,934,716,1014,621,1088,1117,867,843
ENSG00000014138,190,108,276,84,152,190,199,186
ENSG00000014164,578,498,546,286,523,691,238,301
ENSG00000014216,3114,3533,3956,2480,3546,5689,2910,3588
ENSG00000014257,26,16,21,5,23,23,23,9
ENSG00000014641,1613,1301,1892,1105,1768,2034,1287,1235
ENSG00000014824,1102,1101,1449,1056,1672,2291,1098,1224
ENSG00000014914,597,348,775,439,642,518,651,574
ENSG00000014919,714,510,728,441,830,751,524,521
ENSG00000015133,5,10,1,3,4,2,1,4
ENSG00000015153,183,279,273,201,320,315,246,201
ENSG00000015171,2042,1927,2663,1381,2867,3237,2064,1890
ENSG00000015285,7,14,12,2,7,4,2,1
ENSG00000015413,0,3,0,1,2,6,0,2
ENSG00000015475,270,322,406,163,525,577,273,268
ENSG00000015479,5543,3333,6399,2983,7971,6813,4386,4449
ENSG00000015520,22,4,23,1,65,18,18,1
ENSG00000015532,724,598,782,431,768,1062,579,628
ENSG00000015568,210,112,173,85,295,293,52,41
ENSG00000015592,0,3,0,2,1,3,1,1
ENSG00000015676,1829,1527,1866,1061,1773,2042,1472,1548
ENSG00000016082,0,0,1,0,0,0,0,0
ENSG00000016391,155,25,157,30,89,89,219,105
ENSG00000016402,22,6,8,3,13,3,18,10
ENSG00000016490,0,1,0,0,0,0,2,0
ENSG00000016602,1,0,0,0,0,0,0,0
ENSG00000016864,1537,1445,1959,1185,1508,1784,1612,1705
ENSG00000017260,2792,2045,3487,2004,3693,3592,3112,2636
ENSG00000017427,1100,832,1138,766,513,381,932,749
ENSG00000017483,703,396,566,123,528,526,647,237
ENSG00000017797,2930,3683,2819,2432,3442,5562,2560,4118
ENSG00000018189,1110,845,1108,655,1404,1141,894,791
ENSG00000018236,101,47,27,31,58,43,55,52
ENSG00000018280,23,15,19,13,17,21,9,19
ENSG00000018408,3114,2596,2997,1784,3449,4615,2097,2729
ENSG00000018510,850,656,846,462,788,1193,876,995
ENSG00000018607,0,0,0,0,0,0,1,0
ENSG00000018610,315,261,355,164,350,367,252,241
ENSG00000018625,285,146,3356,855,262,162,467,347
ENSG00000018699,255,208,268,246,324,374,280,243
ENSG00000018869,63,65,71,58,74,77,47,35
ENSG00000019102,1,0,3,7,16,27,3,3
ENSG00000019144,3326,4395,3783,2512,3457,4922,2583,3643
ENSG00000019169,0,2,0,0,0,0,0,0
ENSG00000019186,65,5,8,0,9,2,24,0
ENSG00000019485,314,332,320,171,264,468,222,464
ENSG00000019505,1,0,2,2,2,3,0,1
ENSG00000019549,3353,5423,2830,1636,3797,2944,2238,2300
ENSG00000019582,22,25,101,40,30,27,70,44
ENSG00000019991,1517,926,1399,338,2590,1345,1588,719
ENSG00000019995,1356,2658,1592,1916,2005,4024,1272,2596
ENSG00000020129,1459,974,1272,481,1423,1418,1142,782
ENSG00000020181,11137,6620,11659,5319,11307,13568,11468,9157
ENSG00000020219,0,0,0,0,1,0,1,0
ENSG00000020256,373,291,413,170,403,432,329,246
ENSG00000020426,196,181,311,181,329,395,177,206
ENSG00000020577,2269,4046,1925,2507,1984,5537,1878,5124
ENSG00000020633,143,176,90,60,7,3,105,173
ENSG00000020922,562,464,553,376,543,691,492,655
ENSG00000021300,19,6,22,8,15,25,24,13
ENSG00000021355,588,567,662,457,610,1068,389,779
ENSG00000021461,3,2,6,2,2,4,2,4
ENSG00000021488,5,4,4,1,7,2,1,4
ENSG00000021574,527,443,563,357,587,652,455,538
ENSG00000021645,9,22,47,71,13,42,18,85
ENSG00000021762,1443,1806,1032,759,1363,2386,1088,1556
ENSG00000021776,1228,1276,1378,1016,1793,2068,1050,1302
ENSG00000021826,404,261,461,226,302,359,351,279
ENSG00000021852,0,0,0,0,0,0,0,0
ENSG00000022267,7166,8589,11992,8443,8451,16283,9649,14506
ENSG00000022277,1947,1718,2425,1378,2380,3498,1862,1891
ENSG00000022355,0,0,0,0,0,0,0,0
ENSG00000022556,5,1,4,1,5,4,3,4
ENSG00000022567,146,133,156,96,186,274,147,143
ENSG00000022840,2564,2576,3094,2034,2940,3839,2438,2695
ENSG00000022976,205,124,206,104,188,272,178,168
ENSG00000023041,674,637,697,481,805,966,532,692
ENSG00000023171,62,16,120,29,247,184,88,85
ENSG00000023191,2903,2739,2997,1614,2028,2903,2.00E+03,2488
ENSG00000023228,1597,1657,2041,1173,2123,2825,1451,1758
ENSG00000023287,2603,2406,2881,2069,3485,3815,2473,3350
ENSG00000023318,1340,1261,1476,1068,1576,2238,1171,1451
ENSG00000023330,1025,840,1159,549,1519,1433,856,721
ENSG00000023445,78,83,59,29,66,62,42,63
ENSG00000023516,1937,1549,2110,1219,2267,2767,1858,1830
ENSG00000023572,96,108,97,85,91,128,89,79
ENSG00000023608,230,338,430,368,426,836,254,398
ENSG00000023697,460,502,510,357,569,686,373,490
ENSG00000023734,1655,1993,2171,1574,2429,3179,1574,1915
ENSG00000023839,23,33,23,6,9,37,9,23
ENSG00000023892,7,2,5,8,11,7,2,5
ENSG00000023902,654,766,618,474,863,1431,497,641
ENSG00000023909,1079,1615,1324,1867,1347,4678,1135,2828
ENSG00000024048,1322,1162,1558,997,1412,1847,1166,1516
ENSG00000024422,10748,11310,12572,7587,13761,20214,9077,10919
ENSG00000024526,22,33,22,17,28,11,22,9
ENSG00000024862,210,231,287,192,251,237,168,236
ENSG00000025039,3,11,8,6,19,8,6,13
ENSG00000025156,302,237,300,146,339,351,232,189
ENSG00000025293,1417,1420,1516,908,2042,2366,1486,1366
ENSG00000025423,235,61,605,58,104,50,236,48
ENSG00000025434,403,492,513,311,399,422,295,379
ENSG00000025708,136,405,110,122,136,447,74,214
ENSG00000025770,426,364,444,191,357,471,308,261
ENSG00000025772,840,574,933,396,1528,1077,627,516
ENSG00000025796,3318,2361,4840,2777,4059,5201,3299,3378
ENSG00000025800,1962,1835,2372,1649,2626,3286,1760,2034
ENSG00000026025,98471,64439,119665,60034,117016,85720,107280,86759
ENSG00000026036,322,170,381,59,99,259,199,117
ENSG00000026103,991,874,1425,660,1395,1909,1029,1045
ENSG00000026297,266,148,288,133,295,286,218,192
ENSG00000026508,19783,12248,29627,14247,30110,32793,25406,23469
ENSG00000026559,34,20,16,4,47,52,32,9
ENSG00000026652,556,312,359,125,600,527,203,347
ENSG00000026751,0,1,2,4,1,2,0,1
ENSG00000026950,1003,485,1098,400,1019,717,703,345
ENSG00000027001,548,370,794,309,651,787,806,518
ENSG00000027075,78,43,75,52,83,183,85,208
ENSG00000027644,1,0,1,0,2,1,0,0
ENSG00000027697,1353,1607,1341,1244,1561,1809,1070,1634
ENSG00000027847,453,411,568,271,484,670,384,383
ENSG00000027869,1,0,1,0,0,1,0,0
ENSG00000028116,225,247,275,180,332,378,281,301
ENSG00000028137,403,613,596,489,282,993,340,552
ENSG00000028203,997,858,1720,1051,1312,1504,1178,1152
ENSG00000028277,68,29,38,3,227,48,20,8
ENSG00000028310,524,498,718,373,721,960,515,506
ENSG00000028528,3551,2885,4343,2343,4526,4989,2721,3560
ENSG00000028839,490,440,496,284,682,663,492,404
ENSG00000029153,311,218,422,245,450,473,307,336
ENSG00000029363,3179,2186,4444,2097,4022,4951,3213,3171
ENSG00000029364,1468,1022,1628,933,1712,2042,1449,1338
ENSG00000029534,69,30,156,114,127,142,70,64
ENSG00000029559,0,0,5,0,0,1,0,0
ENSG00000029639,129,100,128,83,105,168,114,111
ENSG00000029725,1589,1435,2424,1297,2494,2943,1746,1928
ENSG00000029993,495,318,928,398,898,863,642,492
ENSG00000030066,978,850,1050,610,1006,1330,935,843
ENSG00000030110,183,186,193,122,204,297,159,158
ENSG00000030304,35,54,41,14,19,20,35,21
ENSG00000030419,227,139,239,158,201,515,188,269
ENSG00000030582,10961,7853,13343,6964,13342,14294,12035,11116
ENSG00000031003,1339,1017,1665,903,1486,2075,1502,1539
ENSG00000031081,464,216,463,125,496,515,404,194
ENSG00000031691,58,56,83,53,114,125,91,112
ENSG00000031698,3373,2391,4016,1609,3679,2861,3295,2173
ENSG00000031823,1565,1070,2421,781,2243,1950,1789,1275
ENSG00000032219,701,523,782,409,800,729,639,788
ENSG00000032389,238,207,314,113,214,334,139,197
ENSG00000032444,1317,1167,1821,1105,1788,2471,1162,1492
ENSG00000032742,287,148,344,122,334,270,253,145
ENSG00000033011,521,473,622,335,625,780,500,470
ENSG00000033030,395,425,464,272,454,457,345,407
ENSG00000033050,1036,1349,1257,922,1615,2278,991,1153
ENSG00000033100,2425,1977,2652,1648,2793,4086,2076,2087
ENSG00000033122,9,3,9,1,10,14,13,9
ENSG00000033170,1457,1386,2170,991,2306,1681,1325,1202
ENSG00000033178,979,515,1532,435,1241,1516,893,900
ENSG00000033327,1158,1135,1271,1112,1349,1740,1044,1710
ENSG00000033627,758,1319,961,857,915,1068,851,1095
ENSG00000033800,1118,900,1206,842,1074,1370,887,988
